"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol"
"ENSG00000109906",2204.80182073235,7.36301309771074,0.287926952352079,25.572503850585,3.08621178329322e-144,4.76140753926478e-140,"Up","ZBTB16"
"ENSG00000096060",5188.64458676806,4.23618366386596,0.219582790791416,19.291965679997,6.2741855553937e-83,4.8399067374307e-79,"Up","FKBP5"
"ENSG00000152583",1904.19727941935,4.81127571676273,0.270951753987359,17.7569461941449,1.5229855442369e-70,7.8322069921623e-67,"Up","SPARCL1"
"ENSG00000157514",4592.33478324886,3.53400913196935,0.204984726361073,17.24035343855,1.32225963096206e-66,5.09995539662065e-63,"Up","TSC22D3"
"ENSG00000189221",4402.49044561446,3.23727106155932,0.203952566368675,15.8726664694548,9.79879524418665e-57,3.02351626054623e-53,"Up","MAOA"
"ENSG00000101347",23978.181298058,3.84066821044287,0.262638861464236,14.6233812811661,1.99253657110789e-48,5.12347570317542e-45,"Up","SAMHD1"
"ENSG00000162692",937.929679631975,-3.62808829214665,0.250399819347362,-14.4891809491031,1.41823846903302e-47,3.12579758574877e-44,"Down","VCAM1"
"ENSG00000163884",1153.76279088449,4.48256662598841,0.313437543249193,14.3013073019929,2.14737410451535e-46,4.14121096055785e-43,"Up","KLF15"
"ENSG00000135821",38191.3307330175,3.02703639565809,0.223522153849014,13.542444646014,8.78170018373661e-42,1.50537856038543e-38,"Up","GLUL"
"ENSG00000103196",6189.32077230086,2.8672492954917,0.217460342164614,13.185159495984,1.06827822347854e-39,1.64813964318269e-36,"Up","CRISPLD2"
"ENSG00000138316",1278.91993778094,-2.68962544286785,0.236300310109352,-11.3822340801126,5.12692588574262e-30,7.19074659683974e-27,"Down","ADAMTS14"
"ENSG00000119138",3425.77016661705,2.19254414125305,0.196147809341056,11.178020027951,5.2242536514284e-29,6.71664877785312e-26,"Up","KLF9"
"ENSG00000125148",5393.59382018565,2.03759816401909,0.1870023714276,10.8961086881616,1.20292459126995e-27,1.42759389185483e-24,"Up","MT2A"
"ENSG00000179094",1405.97863650416,3.3334860837232,0.309720901382687,10.7628709229552,5.15390539677927e-27,5.67960374725075e-24,"Up","PER1"
"ENSG00000120129",6182.43223334536,2.87714142462653,0.267528578896309,10.7545198965142,5.6427088999597e-27,5.80371419390521e-24,"Up","DUSP1"
"ENSG00000004799",1230.41373725185,3.73234185371244,0.355467129098451,10.4998227632989,8.65424622560116e-26,8.34485692303592e-23,"Up","PDK4"
"ENSG00000150907",861.835843280346,2.46892044719817,0.236083807162723,10.4578135911559,1.34933319702007e-25,1.22455956256622e-22,"Up","FOXO1"
"ENSG00000165995",1076.03855506967,3.33225492414702,0.322632374825265,10.3283339929904,5.24638513839202e-25,4.496734995284e-22,"Up","CACNB2"
"ENSG00000167549",3936.45678598269,2.52201879092931,0.244632614475687,10.3094135519692,6.38899888728194e-25,5.18786709647294e-22,"Up","CORO6"
"ENSG00000198624",4132.15254558353,3.03479250595216,0.296555597297444,10.233468980551,1.40398207934412e-24,1.08303177600606e-21,"Up","CCDC69"
"ENSG00000139132",1954.12824251825,2.22354762130444,0.218403001164719,10.1809389497695,2.41222437647365e-24,1.77218084191598e-21,"Up","FGD4"
"ENSG00000185432",5195.487366025,2.33744022406869,0.23153763875247,10.0952926559278,5.79579365202594e-24,4.06443202106619e-21,"Up","TMT1A"
"ENSG00000100242",5008.6290794352,1.89652433550126,0.19541652149244,9.70503579235307,2.86975567940977e-22,1.92498220095365e-19,"Up","SUN2"
"ENSG00000178695",4553.75815752059,-2.50205339921416,0.259524764723731,-9.64090421920867,5.37127328351513e-22,3.45283350908631e-19,"Down","KCTD12"
"ENSG00000166741",13568.7981097746,2.12224167441295,0.220781185080471,9.61242088468466,7.08629459334713e-22,4.37309411944638e-19,"Up","NNMT"
